epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,276.984,1.5143,6.66098,0.00859,0.00488,0.84203,0.08901,0.03613,1.06587,8.74098,0.00744,0.000537144,0.000537144,0.000537144
2,558.691,1.39328,5.58634,0.00794,0.93301,0.24861,0.56764,0.28645,1.19034,8.06361,0.00844,0.00103872,0.00103872,0.00103872
3,861.444,1.51814,4.63553,0.00867,0.54571,0.58173,0.57436,0.31736,1.25479,6.98825,0.00939,0.00148528,0.00148528,0.00148528
4,1153.18,1.44764,4.12669,0.00847,0.74219,0.58809,0.67016,0.34663,1.36129,5.71584,0.01014,0.00141945,0.00141945,0.00141945
5,1439.33,1.45665,3.40849,0.00839,0.58855,0.71154,0.6919,0.3906,1.37698,4.63081,0.01002,0.00133693,0.00133693,0.00133693
6,1705.03,1.51652,3.20162,0.00881,0.66981,0.70509,0.73913,0.39513,1.46571,3.81617,0.01086,0.00125442,0.00125442,0.00125442
7,1987.89,1.46459,2.78744,0.00842,0.68935,0.71291,0.73274,0.39605,1.54465,3.22533,0.0115,0.0011719,0.0011719,0.0011719
8,2315.49,1.50127,2.51831,0.00829,0.71219,0.81868,0.789,0.44124,1.42631,2.73293,0.01082,0.00108938,0.00108938,0.00108938
